Ort;Plz;Vorwahl;Bundesland
Alzenau;63755;06023;Bayern
Alzey;55232;06731;Rheinland-Pfalz
Am Jägerberg;21227;;Niedersachsen
Am Quicken;82493;;Bayern
Am Rainberge;34497;;Hessen
Am Römerhof;61200;;Hessen
Am Römerschacht;61200;;Hessen
Am Rönndeich;21706;;Niedersachsen
Am Rüdesheimer Hafen;65385;;Hessen
Am Sandkopf;34127;;Hessen
Am Sandweiher;66849;06371;Rheinland-Pfalz
Am Springberg;76889;;Rheinland-Pfalz
Am Tekenberge;38350;05355;Niedersachsen
Amalienfelde;16766;033055;Brandenburg
Amberg;86854;08241;Bayern
Amberg;92224;09621;Bayern
Amelinghausen;21385;04132;Niedersachsen
Amerang;83123;08075;Bayern
Amerdingen;86735;09008;Bayern
Amesdorf;39439;039262;Sachsen-Anhalt
Ammeldingen;54673;06564;Rheinland-Pfalz
Ammeldingen;54675;06566;Rheinland-Pfalz
Ammelstädt;07407;03672;Thüringen
Ammerbuch;72119;07073;Baden-Württemberg
Ammern;99974;03601;Thüringen
Ammerndorf;90614;09127;Bayern
Ammersbek;22949;04532;Schlewig-Holstein
Ammerthal;92260;09628;Bayern
Amöneburg;35287;06429;Hessen
Amorbach;63916;09373;Bayern
Ampfing;84539;08636;Bayern
Ampfurth;39387;039407;Sachsen-Anhalt
Amsdorf;06317;034601;Sachsen-Anhalt
Amselgraben;83329;;Bayern
Amstetten;73340;07331;Baden-Württemberg
Amtsberg;09439;037209;Sachsen
Amtzell;88279;07520;Baden-Württemberg
An der Chaussee;25840;;Schlewig-Holstein
An der Rhumequelle;37434;;Niedersachsen
Andechs;82346;08152;Bayern
Andenhausen;36452;036964;Thüringen
Anderbeck;38836;039422;Sachsen-Anhalt
Anderlingen;27446;04284;Niedersachsen
Andernach;56626;02632;Rheinland-Pfalz
Andervenne;49832;05902;Niedersachsen
Andisleben;99189;036201;Thüringen
Andrichstadt;83364;08662;Bayern
Angelbachtal;74918;07265;Baden-Württemberg
Angelburg;35719;06464;Hessen
Angelhof I u. II;67346;;Rheinland-Pfalz
Angelroda;99338;036207;Thüringen
Anger;83454;08656;Bayern
Anger;83565;08656;Bayern
Angermünde;16278;03331;Brandenburg
Angern;39326;039363;Sachsen-Anhalt
Angersdorf;06179;0345;Sachsen-Anhalt
Angl;83739;08064;Bayern
Anhausen;56584;02639;Rheinland-Pfalz
Ankermühle;37308;;Thüringen
Ankershagen;17219;039921;Mecklenburg-Vorpommern
Anklam;17389;03971;Mecklenburg-Vorpommern
Ankum;49577;05462;Niedersachsen
Anna Luisenhof;18239;038207;Mecklenburg-Vorpommern
Annaberg;67098;;Rheinland-Pfalz
Annaberg-Buchholz;09456;03733;Sachsen
Annaburg;06925;035385;Sachsen-Anhalt
Annahütte;01994;035754;Brandenburg
Annarode;06308;034772;Sachsen-Anhalt
Anning;83368;08621;Bayern
Annweiler;76855;06346;Rheinland-Pfalz
Anröchte;59609;02947;Nordrhein-Westfalen
Ansbach;91522;0981;Bayern
Anschau;56729;02656;Rheinland-Pfalz
Antdorf;82387;08856;Bayern
Antrifttal;36326;06692;Hessen
Antweiler;53533;02693;Rheinland-Pfalz
Anzing;85646;08121;Bayern
Apelern;31552;05043;Niedersachsen
Apen;26689;04489;Niedersachsen
Apenburg;38486;039001;Sachsen-Anhalt
Apensen;21641;04167;Niedersachsen
Apfeldorf;86974;08869;Bayern
Apfelstädt;99192;036202;Thüringen
Apfeltrach;87742;08261;Bayern
Apolda;99510;03644;Thüringen
Appel;21279;04168;Niedersachsen
Appelbeck;21279;04165;Niedersachsen
Appeln;27616;04747;Niedersachsen
Appen;25482;04101;Schlewig-Holstein
Appenheim;55437;06725;Rheinland-Pfalz
Appenrode;99768;036331;Thüringen
Appensee;74597;07967;Baden-Württemberg
Appenweier;77767;07805;Baden-Württemberg
Apperting;83376;08667;Bayern
Arbach;56769;02657;Rheinland-Pfalz
Arberg;91722;09822;Bayern
Aremberg;53533;02693;Rheinland-Pfalz
Arendsee;17291;039855;Brandenburg
Arendsee;39619;039384;Sachsen-Anhalt
Arenrath;54518;06575;Rheinland-Pfalz
Arensdorf;06369;034975;Sachsen-Anhalt
Arensdorf;15518;033635;Brandenburg
Arenshausen;37318;036081;Thüringen
Arensnest;14827;033849;Brandenburg
Arenzhain;03253;035322;Brandenburg
Aresing;86561;08252;Bayern
Arft;56729;02655;Rheinland-Pfalz
Argenbühl;88260;07566;Baden-Württemberg
Argenschwang;55595;06706;Rheinland-Pfalz
Argenthal;55496;06761;Rheinland-Pfalz
Arholzen;37627;05532;Niedersachsen
Arkebek;25767;04835;Schlewig-Holstein
Arleting;83374;08669;Bayern
Arlewatt;25860;04846;Schlewig-Holstein
Armsheim;55288;06734;Rheinland-Pfalz
Armstedt;24616;04324;Schlewig-Holstein
Armstorf;21769;04773;Niedersachsen
Arnbruck;93471;09945;Bayern
Arneburg;39596;039321;Sachsen-Anhalt
Arnis;24399;04642;Schlewig-Holstein
Arnsau;53547;02638;Rheinland-Pfalz
Arnsbach;07330;036731;Thüringen
Arnsberg;59755;02931;Nordrhein-Westfalen
Arnsberg;59757;02931;Nordrhein-Westfalen
Arnsberg;59759;02931;Nordrhein-Westfalen
Arnsberg;59821;02931;Nordrhein-Westfalen
Arnsberg;59823;02931;Nordrhein-Westfalen
Arnschwang;93473;09977;Bayern
Arnsdorf;01477;035200;Sachsen
Arnsdorf;06917;03537;Sachsen-Anhalt
Arnsgereuth;07318;036736;Thüringen
Arnsgrün;07952;037431;Thüringen
Arnshöfen;56244;02666;Rheinland-Pfalz
Arnsnesta;04916;03535;Brandenburg
Arnstadt;99310;03628;Thüringen
Arnstedt;06333;034785;Sachsen-Anhalt
Arnstein;56379;;Rheinland-Pfalz
Arnstein;97450;09363;Bayern
Arnstorf;94424;08723;Bayern
Arpsdorf;24634;04324;Schlewig-Holstein
Arpshagen;23948;038825;Mecklenburg-Vorpommern
Arrach;93474;09943;Bayern
Arras;09326;037382;Sachsen
Artamhof;66849;06371;Rheinland-Pfalz
Artern;06556;03466;Thüringen
Artlenburg;21380;04153;Niedersachsen
Arzbach;56337;02603;Rheinland-Pfalz
Arzberg;04886;034222;Sachsen
Arzberg;95659;09233;Bayern
Arzfeld;54687;06550;Rheinland-Pfalz
Asbach;53567;02683;Rheinland-Pfalz
Asbach;55758;06786;Rheinland-Pfalz
Asbach;89522;07321;Baden-Württemberg
Asbach;98574;03683;Thüringen
Asbach-Bäumenheim;86663;0906;Bayern
Asbacherhütte;55758;06786;Rheinland-Pfalz
Asbach-Sickenberg;37318;;Thüringen
Ascha;94347;09961;Bayern
Aschaffenburg;63739;06021;Bayern
Aschaffenburg;63741;06021;Bayern
Aschaffenburg;63743;06021;Bayern
Aschara;99958;03603;Thüringen
Aschau;07426;036738;Thüringen
Aschau;83229;08052;Bayern
Aschau;84544;08638;Bayern
Aschbach;67753;06304;Rheinland-Pfalz
Aschbach;83739;08064;Bayern
Ascheberg;24326;04526;Schlewig-Holstein
Ascheberg;59387;02593;Nordrhein-Westfalen
Ascheffel;24358;04353;Schlewig-Holstein
Aschendorf;26871;04962;Niedersachsen
Aschenhausen;98634;036966;Thüringen
Aschenhütte;37412;;Niedersachsen
Aschersleben;06449;03473;Sachsen-Anhalt
Aschheim;85609;089;Bayern
Aseleben;06317;034774;Sachsen-Anhalt
Asendorf;21271;04183;Niedersachsen
Asendorf;27330;04253;Niedersachsen
Aspach;71546;07191;Baden-Württemberg
Aspach;99880;03622;Thüringen
Aspelhorn;21388;04132;Niedersachsen
Aspenstedt;38822;039427;Sachsen-Anhalt
Asperg;71679;07141;Baden-Württemberg
Aspisheim;55459;06727;Rheinland-Pfalz
Assamstadt;97959;06294;Baden-Württemberg
Asselfingen;89176;07345;Baden-Württemberg
Aßlar;35614;06441;Hessen
Aßling;85617;08092;Bayern
Ast;83565;;Bayern
Ast;93449;09972;Bayern
Astert;57627;02688;Rheinland-Pfalz
Ateritz;06901;034921;Sachsen-Anhalt
Athenstedt;38822;039427;Sachsen-Anhalt
Attendorn;57439;02722;Nordrhein-Westfalen
Attenhausen;56370;02604;Rheinland-Pfalz
Attenhofen;84091;08753;Bayern
Attenkirchen;85395;08168;Bayern
Attenweiler;88448;07357;Baden-Württemberg
Atterwasch;03172;035692;Brandenburg
Atting;94348;09429;Bayern
Atzelgift;57629;02662;Rheinland-Pfalz
Atzendorf;39443;039266;Sachsen-Anhalt
Atzlbach;83364;08666;Bayern
Au;76474;07245;Baden-Württemberg
Au;79280;0761;Baden-Württemberg
Au;83364;0861;Bayern
Au;83546;08073;Bayern
Au;84072;08752;Bayern
Aub;97239;09335;Bayern
Aubstadt;97633;09761;Bayern
Audenhain;04838;034244;Sachsen
Auderath;56766;02676;Rheinland-Pfalz
Aue;08280;03771;Sachsen
Aue a Berg;07318;03671;Thüringen
Auel;56357;06771;Rheinland-Pfalz
Auen;55569;06754;Rheinland-Pfalz
Auenwald;71549;07191;Baden-Württemberg
Auerbach;08209;03744;Sachsen
Auerbach;09392;03721;Sachsen
Auerbach;91275;09643;Bayern
Auerbach;94530;09901;Bayern
Auerberg;95703;;Bayern
Auerstedt;99518;036461;Thüringen
Auetal;31749;05753;Niedersachsen
Aufhausen;93089;09454;Bayern
Aufkirchen;82282;08145;Bayern
Aufseß;91347;09198;Bayern
Auggen;79424;07631;Baden-Württemberg
Augsburg;86150;0821;Bayern
Augsburg;86152;0821;Bayern
Augsburg;86153;0821;Bayern
Augsburg;86154;0821;Bayern
Augsburg;86156;0821;Bayern
Augsburg;86157;0821;Bayern
Augsburg;86159;0821;Bayern
Augsburg;86161;0821;Bayern
Augsburg;86163;0821;Bayern
Augsburg;86165;0821;Bayern
Augsburg;86167;0821;Bayern
Augsburg;86169;0821;Bayern
Augsburg;86179;0821;Bayern
Augsburg;86199;0821;Bayern
Augsdorf;06308;03476;Sachsen-Anhalt
Augustdorf;32832;05237;Nordrhein-Westfalen
Augustusburg;09573;037291;Sachsen
Auhagen;31553;05725;Niedersachsen
Auhausen;86736;09832;Bayern
Auhof;74564;07951;Baden-Württemberg
Aukrug;24613;04873;Schlewig-Holstein
Auleben;99765;036333;Thüringen
Aulendorf;88326;07525;Baden-Württemberg
Aull;65582;06432;Rheinland-Pfalz
Aulosen;39615;039395;Sachsen-Anhalt
Auma;07955;036626;Thüringen
Aumühle;21521;04104;Schlewig-Holstein
Aura;97717;09704;Bayern
Aura;97773;09356;Bayern
Aurach;91589;09804;Bayern
Aurachtal;91086;09132;Bayern
Aurich;26603;04941;Niedersachsen
Aurich;26605;04941;Niedersachsen
Aurich;26607;04941;Niedersachsen
